,0
0,Connecticut
1,California
2,Georgia
3,New York
4,Oklahoma
5,New Hampshire
6,North Carolina
7,Illinois
8,Pennsylvania
9,Montana
10,New Jersey
11,South Dakota
12,Wisconsin
13,West Virginia
14,Florida
15,Delaware
16,Minnesota
17,Colorado
18,Wyoming
19,Rhode Island
20,Vermont
21,Iowa
22,Tennessee
23,Arizona
24,Nevada
25,Mississippi
26,Utah
27,Massachusetts
28,South Carolina
29,Maryland
30,Louisiana
31,Oregon
32,Kentucky
33,Virginia
34,Alabama
35,Idaho
36,Michigan
37,Maine
38,Nebraska
39,North Dakota
40,Arkansas
41,Hawaii
42,Indiana
43,Missouri
44,Washington
45,New Mexico
46,Kansas
47,Ohio
